head-word,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,modern-spelling,part-of-speech,references,reference-link,annotation-id,synonym-in-glossary,antonym-in-glossary,see-also-in-glossary,questions-observations-examples-references,folio,entry-id,entry-heading,editorial-comment,editors-notes,uncertain
Taraire,,,auger,,,n.(m),COT1611,,,,,,,168v,,,,,
Tartre,,,tartar,,,n.(m),,,,,,sel de tartre,,,,,,,
Teline,,,"tellin, any marine bivalve mollusk of the genus <i>Tellina</i>",,,n.(f),littre1873 | OED2008,,,,,,,,,,,,
Tellier,,,loom,,,n.(m),DMF2015,,,,,,,,,,,,
Tenaille,,,pincers,,,n.(f),COT1611,,,,,,,,,,,,
Tendre,,,delicate,,,adj.,COT1611,,,,,,,,p041v_1,,,,
Terra merita,terre emerita | terra emerita | terroy merita,,"turmeric; ""terra merita"" defined on fol. 148r as ""racine de cucurme."" NB: left in French in the Edition's English translation",Latin,curcuma,n.(f),dalechamps1653,http://gallica.bnf.fr/ark:/12148/bpt6k5408308s,,,,,,,,,,,
Terre,,,earth ,,,n.(f),,,,,,,,,,,NEEDS to be completed,,
Terre bolvene,,,boulbène earth (usually found in the Garonne valley and essentially made of clay and sand),,terre boulbène,n.(f),TLFi2019,,,,,terre bourrre | terre des fondeurs,,,,,,,
Terre bourre,,,"founder's earth (mostly used by bell founders, and made of reclaimed material from used molds, such as sand, clay, manure, hair, and brick dust)",,,n.(f),,,,,,terre bolvene | terre des fondeurs,,,,,,"Mentioned as “fatty earth” on 77r, and “earth used by founders” on 107r.",
Terre d'ombre,terre d'umbre,,"umber (yellow brown pigment containing iron oxide, earth from Umbria)",,terre d'ombre,n.(f),gineau2014,,,,,,,066r,,,,,
Terre de parayre,,,fullers' earth (a fine clay used in finishing cloth),,,n.(f),,,,,,parayre,,,,,,,
Terre des fondeurs,,,founders’ earth (described on 127v),,,n.(f),,,,,,terre bourre | terre bolvene | terre des fondeurs,,127r | 127v,,,,,
Terre fiens,,,earth with dung,,,n.(f),,,,,,fiens,,123r,,,,,
Terre fondue,,,"Unidentified type of earth which, according to the author-practitioner, is used by potters and can be added to casting sand for strengthening molds.",,,n.(f),,,,,,,,,,,,,
Terrine,,,presumably a specific shape or kind of dish,,,n.(f),,,,,,,,,,,,,
Teste,,,head,,tête,n.(f),,,,,,,,122r,,,,,
Teston,,1,nipple,,,n.(m),COT1611,,,,,,,005v,,,,,
Teston,,2,teston (silver coin worth 18 d. sterling),,,n.(m),COT1611,,,,,,,,,,,,
Theriaque,,,theriac (a medicine made by mixing several ingredients such as plants or animal parts),,,n.(f),,,,,,,,,,,,,
Tine,,,open tub,,,n.(f),COT1611,,,,,,,,p054v_1,,,,
Tirer,,,to fire a shot,,,v.,,,,,,,,,,,,,
Tirer sur,,,to verge on (of colors),,,v. ,,,,,,,,,,,,,
Tisane,,,infusion of herbs,,,n.(f),COT1611 | DMF2015,,,,,,,118v,,,,,
Toile,,,canvas,,,n.(f),,,,,,,,,,,,,
Tondure,,,cloth shearings,,,n.(f),littre1873,,,,,,,,,,,,
Torteau,,,cake (a firmly pressed ball or slab),Poitevin,tourteau,n.(m),COT1611 | DMF2015,,,,,tourtelle,,,p029v_6,,,,
Toucher,,,"to touch, to handle, ",,,v.,COT1611,,,,,,,,,,,,
Tourillon,,,"An inner verrill; the round plate of iron whereby a piece of wood, often turned on, is preserved from wearing, and burning",,,n.(m),COT1611,,,,,,,,,,,,x
Tourmentine,,,turpentine,,,n.(f),,,,,,,,,,,,,
Tournoyer,,,to swirl,,,v.,,,,,,,,,,,,,
Tourtelle,,,cake (a firmly pressed ball or slab),Poitevin,tourteau,n.(f),,,,,,torteau,,,,,,,
Traict,,,feature (of a work),,trait,n.(m),,,,,,,,117v | 132r | 156r,,,,,
Trancheplume,trencheplume,,pen-knife,,tranche-plume,n.(m),,,,,,,,,,,,,
Trasser,,,"to trace, to delineate",,,v.,,,,,,,,039v,,,,,
"Travers, de",,,"crosswise, used to qualify molding and casting. Seems to refer to a technique of orienting the gate in a mold, characteristic of metalworkers in Foix",,,adv.,,,,,,,,,p143r_2 | 90r_2,,,,
Trebuschet,,,"possible meanings include a trap for animals and a small set of scales for weighing coins. Either could apply in the context in the manuscript, which suggests a thin item made of metal.",,trébuchet,n.(m),DMF2015 | COT1611,,,,,,,072r,,,,,
Trempe,,1,tempering (the process of quenching a heated metal in a liquid),,,n.(f),,,,,,,,,,,,,
Trempe,,2,tempering bath (the liquid used for quenching),,,n.(f),,,,,,,,,p056r_1,,,,
Tremper,,1,to soak,,,v.,,,,,,,,,,,,,
Tremper,,2,"to temper (metals), to quench (as part of the tempering process)",,,v.,,,,,,,,,,,,,
Tremper a pacquet,,,"tempering process for hardening metal of tools, e.g. files",,,v.,littre1873,http://www.littre.org/definition/trempe#var3,,,,,,,p067v_1,,,,
Trepan,,,trepan,,trépan,n.(m),,,,,,,,,,,,,
Triboulet,,,triblet (a disc on which goldsmiths set rings or other round objects to file or work them),,,n.(m),COT1611,,,,,,,,,,,,
Tripoli,tripoly,,"tripoli (silica stone, the powder of which is used to polish metals and glass)",,,n.(m),COT1611 | littre1873,,,,,,,,,,,,
Trusseaux,trusseaulx,,a type of mold,,,n.(m),COT1611,,,,,,,142v,,,,,
Tuelle,,,"blast-pipe (the conduit at the bottom of the furnace or kiln, through which the bellows’ pipes are inserted)",,,n.(f),,,,,,,,016r | 109r,,,,,
Tuf,,,white sand,,,n.(m),COT1611,,,,,,,,,,,,
Turquin,,,a bluish gray,,,adj.,,,,,,,,,,,,,
Turquine,,,a dark dark blue pigment,,,n.(f),DMF2015,,,,,,,,,,,,
Tutie,tuthie,,"tutty, a medicinal stone or dust made of crude zinc oxyde",,,n.(f),COT1611,,,,,,,,,,,,x
Tuyau,,1,"quill or pipe, in the sense of a ferule",,,n.(m),,,,,,,,067r,,,,,
Tuyau,,2,cane of a ramrod,,,n.(m),,,,,,,,055r,,,,,
Tuyaulx des souflets,,,bellows' pipes,,,n.(m),,,,,,,,,,,,,
Tyrant,,,"On fol. 9r, this is described as a formulary for merchants' apprentices listing the prices of merchandise. ",,,n.(m),,,,,,,,,,,,,
Umbre,,1,shadow,,,n.(f),COT1611,,,,,,,,,,,,
Umbre,,2,umber (short for terre d'umbre),,,n.(f),TLFi2019,,,,,,,058r,p057v_2,,,,
Uny,unie,1,"uniform (even, smooth)",,,adj.,,,,,,,,10r | 12r,,,,,
Uny,,2,united,,,adj.,,,,,,,,,,,,,
Usblac,,,isinglass (fish glue),dutch,usblat,n.(m),,,,,,,,,,,,,
User,,,to buff enamel with fine sand,,,v.,,,,,,,,121r,,,,,
User de,,,to use,,,v.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Vache,,,type of crane,,,n.(f),DMF2015,,,,,,,,,,,,x
Vaisseau,,,"vessel, recipient",,,n.(m),,,,,,,,,,,,,
Vapeur,,,vapor (fol. 157v refers to a method of blowing into a mold to remove ashes but the DMF2015 describes <i>vapeur</i> as either dry or humid),,,n.(f),DMF2015,,,,,,,157v,,,,,
Vase,,,vessel,,,n.(m),COT1611,,,,,,,,,,,,x
Vase,,,"sludge, mud",,,n.(f),COT1611,,,,,,,,,,,,
Vendangeur,,,vintager,,,n.(m),COT1611,,,,,,,,p040r_3,,,,
Venter,,,"to ventilate, to free from chaff by winnowing",,,v.,OED2008,,,,,,,121r,,,,,
Verd,,,probably “verdigris” as it used in a context of casting <i>potin</i>,,,n.(m),,,,,,,,,,,,,
Verdaule,,,another name for the bird called ortolan (according to the author-practitioner),,,n. (f),,,,,,,,,,,,,
Verd de terre,vert de terre,,a color (likely a green mineral chalk),,,n.(m),COT1611,,,,,,,,,,,,
Verdegris,vertdegris,,"verdigris (copper green, mainly copper acetate)",,vert-de-gris,n.(m),DAF2018,,,,,,,,,,,,
Verdesin,,,greenish,,,,,,,,,,,156v,,,,,
Verdet,,,"verdet, also known as ""Spanish green""",,,n.(m),,http://cameo.mfa.org/wiki/Verdigris,,,,,,,,,,,
Verge,,,"rod, or with guns, a ramrod",,,n.(f),COT1611,,,,,,,045v | 055r,,,,,
Vergette,,1,small rod,,,,,,,,,,,045v | 097r,,,,,
Vergette,,2,"a rod that painters rest their hand upon when they paint, in the sense of maulstick",,,,,,,,,,,058v,,,,,
Vermeilles,,,a technique of enameling on a metal ground,,,n.(f),TLFi2019,,,,,,,,,,,,
Vermeillon,,,vermilion,,,n.(m),COT1611,,,,,,,,,,,,
Vernis,,1,varnish,,,n.(m),,,,,,,,,,,,,
Vernis,,2,sheen,,,n.(m),,,,,,,,,,,,,
Vernis de Flandres,,,Flanders varnish,,,n.(m),carlyle2001,,,,,,,,,,,,
Vernis de lin,,,linseed varnish,,,n.(m),,,,,,,,,p004r,,,,
Verrier,,,"glassmaker (in the Parisian context, a profession which produces glass objects, as contrasted with another group of glassworkers, the “vitriers,” who made flat plate glass and stained glass windows and did painting on glass, for stained glass)",,,n.(m),,,,,,,,,,,,,
Verroil,,,lock,,verrou,n.(m),,,,,,,,168v,,,,,
Vert d'azur,,,"unidentified green or green-blue pigment that, according to the author-practitioner, is found in mines, and is perhaps similar in composition to other mineral blues such as azurite (a copper carbonate). Cotgrave glosses <i>vert d'asur</i> as ""A certain blewish greene stone, found in Mines of Copper which be mingled with silver, and an excellent purger of melancholie.""",,,n.(m),COT1611,,,,,,,,,,,,
Vert de terre,,,"green verditer, an artificial basic copper carbonate ",,,n.(m),ward2008,,,,,,,,,,,,
Vert de vessie,vert de nerprun,,"sap-green, a green-yellow pigment",,,,,,,,,,,,,,,,
Vertuelle,vertvelle,,strap hinge (the word is found in 18th-c. documents from lower Poitou/Charente),Poitevin,vertevelle,n.(f),,http://fabrice.bouffanet.free.fr/AfficheActe.php?IDF_ACTE=2565,,,,,,168v,,,,,
Vesie,,,blister,,vessie,n.(f),DMF2015 | COT1611,,,,,,,108r,,,,,
Vesse,,,puffball mushroom,,Vesse-de-loup,n.(f),TLFi2019,,,,,,,020v,,,,missing ref,
Vessie,,,"a blister or bubble (Used on fol. 36v in connection with blowing glass). According to Cotgrave, vessie can also mean a distilling vessel",,,n.(f),COT1611,http://www.micmap.org/dicfro/search/cotgrave/vessie,,,,,,,,,,missing folios,
Viande,,,"foodstuff, not necessarily meat",,,n.(f),,,,,,,,,,,,,
Viatique,,,travel provisions,,,n.(m),DMF2015,,,,,,,,,,,,
Vibrequin,,,"wimble, A boring tool similar to a gimlet",,,n.(m),COT1611 | OED2008,,,,,,,,,,,,
Vif,,1,"lively, of colors",,,adj.,,,,,,,,,,,,,
Vif,,2,"sparkling hot, of iron",,,adj.,,,,,,,,,,,,,
Vilain,,,vile,,,adj.,,,,,,,,,,,,,
Villate,,,small town,,villette,n.(f),COT1611,,,,,,,,,,,,
Vin bruslé,,,mulled wine,,vin brûlé,n.(m),,,,,,,,,,,,,
Vinette,vinete,,"sorrel, <i>Rumex acetosa</i>",,,n.(f),COT1611,,,,,Lapathum acutum | Rhubarbe des moynes,,,,,,,
Viole,,,gilliflower,,,n.(f),COT1611,,,,,,,001v,,,,,
Viron,biron,,"gimlet, possibly an alternative Occitan name for the tool that the author usually calls <i>guimbelet</i>",Occitan,,n.(m),,,,,,,,168r,,,,,
Visaube,bisaube,,"contraction of <i>vitis alba</i>, probably referring to white briony, <i>bryonia alba</i>",Poitevin,,n.(f),bulletin1845,https://books.google.fr/books?id=EykTAAAAQAAJ&q=visaube+%22vitis+alba%22&dq=visaube+%22vitis+alba%22&hl=fr&sa=X&ved=0ahUKEwiG8t3JvoDcAhUGCywKHbpSA7kQ6AEINzAD,,,,,,,p015v_6,,,,
"Visée, prendre",,,to take aim,,,phr.,COT1611,,,,,,,,,,,,
Visme,,,"a species of willow (often <i>salix viminalis</i>), employed for basket making, wicker, and thatch, among other uses. It is Occitan word for the French <i>osier</i>, cultivated along the Garonne. Sometimes called “withy” or “osier” in English.",Occitan,vime,n.(m),landric1580,,,,,,,,,,,,
Vitrier,,,"glassworker, the profession that makes plate glass, stained glass windows, and paints on glass.  In the Parisian context, the vitriers apparently engaged in a different range of glassworking than the <i>verriers</i>, who were first recognized in 1583 in the Statutes of Paris",,,n.(m),,,,,,verrier,,,,,,,
Vitriol,,,oil of sulfur (vitriol or sulfuric acid),,,n.(m),,,,,,,,,,,,,
Vray,,,true ,,vrai,adj.,,,,,,,,,,,,,
Vuider,,,to hollow,,vider,v.,,,,,,,,,,,,,
Vulgaire,,,"common, on fol.100r refers to an artisan who does things in a simpler way or lacks the appropriate tools",,,adj.,,,,,,,,100r,,,,,
Zedoaire,,,"zedoary, or white turmeric",,,n.(f),DMF2015,,,,,,,,,,,,
