 pastel woad flowers|001r||p001r_1
 broth|047r|Against diarrhea and dysentery|p047r_5
 root of consolida maior|047r|Against diarrhea and dysentery|p047r_5
 beef|047r|Against diarrhea and dysentery|p047r_5
 wine|047v|A drink having a taste of wine|p047v_1
 tartar from large vessels|047v|A drink having a taste of wine|p047v_1
 water|047v|A drink having a taste of wine|p047v_1
 wine|047v|A drink having a taste of wine|p047v_1
 metal|047v|Founding|p047v_2
 copper|047v|Founding|p047v_2
 potin|047v|Founding|p047v_2
 copper|047v|Founding|p047v_2
 latten|047v|Founding|p047v_2
 candlestick latten|047v|Founding|p047v_2
 basin latten|047v|Founding|p047v_2
 latten|047v|Founding|p047v_2
 latten|047v|Founding|p047v_2
 lead|047v|Founding|p047v_2
 smoke|047v|Founding|p047v_2
 rosette|047v|Founding|p047v_2
 latten|047v|Founding|p047v_2
 metal|047v|Founding|p047v_2
 glass|047v|Founding|p047v_2
 metal|047v|Founding|p047v_2
 lute|047v|Founding|p047v_2
 earth|047v|Founding|p047v_2
 pestled glass|047v|Founding|p047v_2
 luted|047v|Crucibles|p047v_3
 calcinated pumice stone|047v|Cast|p047v_4
 gold|047v|Cast|p047v_4
 metal|047v|Cast|p047v_4
 metal|048r|Founder|p048r_1
 pill of precipitate|048r|Curing dogs of mange|p048r_2
 meat|048r|Curing dogs of mange|p048r_2
 Excellent mustard|048r|Excellent mustard|p048r_3
 bread|048r|Excellent mustard|p048r_3
 cloves|048r|Excellent mustard|p048r_3
 cinnamon|048r|Excellent mustard|p048r_3
 good wine|048r|Excellent mustard|p048r_3
 tammy cloth|048r|Excellent mustard|p048r_3
 mustard seed|048r|Excellent mustard|p048r_3
 canvas|048r|Keeping birds and animals|p048r_4
 cotton|048r|Keeping birds and animals|p048r_4
 skin|048r|Keeping birds and animals|p048r_4
 canvas|048r|Keeping birds and animals|p048r_4
 sel ammoniac|048r|Keeping birds and animals|p048r_4
 |048r|Keeping birds and animals|p048r_4
 Extraction of regulus|048v|Extraction of regulus|p048v_1
 antimony|048v|Extraction of regulus|p048v_1
 black soap|048v|Extraction of regulus|p048v_1
 tartar from Montpellier|048v|Extraction of regulus|p048v_1
 wood|048v|Extraction of regulus|p048v_1
 iron|048v|Extraction of regulus|p048v_1
 soap|048v|Extraction of regulus|p048v_1
 regulus|048v|Extraction of regulus|p048v_1
 antimony|048v|Extraction of regulus|p048v_1
 antimony|048v|Extraction of regulus|p048v_1
 saltpeter|048v|Extraction of regulus|p048v_1
 pulverized tartar|048v|Extraction of regulus|p048v_1
 Lead|048v|Lead, tin|p048v_2
 tin|048v|Lead, tin|p048v_2
 tin|048v|Lead, tin|p048v_2
 lead|048v|Lead, tin|p048v_2
 tin|048v|Lead, tin|p048v_2
 antimony|048v|Lead, tin|p048v_2
 looking glass tin|048v|Lead, tin|p048v_2
 fine tin|048v|Lead, tin|p048v_2
 looking glass tin|048v|Lead, tin|p048v_2
 fine tin|048v|Lead, tin|p048v_2
 red & soft copper of cauldrons|048v|Lead, tin|p048v_2
 latten.|048v|Lead, tin|p048v_2
 fine & soft tin|048v|Lead, tin|p048v_2
 brittle tin|048v|Lead, tin|p048v_2
 stone|048v|Lead, tin|p048v_2
 copper|048v|Lead, tin|p048v_2
 copper|048v|Lead, tin|p048v_2
 lead|048v|Lead, tin|p048v_2
 doux tin|048v|Lead, tin|p048v_2
 Sandever|048v|Lead, tin|p048v_2
 metals|048v|Lead, tin|p048v_2
 water|048v|Lead, tin|p048v_2
 doux tin|048v|Lead, tin|p048v_2
 brittle one|048v|Lead, tin|p048v_2
 tin|048v|Lead, tin|p048v_2
 lead|048v|Lead, tin|p048v_2
 marble|048v|Lead, tin|p048v_2
 square tile|048v|Lead, tin|p048v_2
 lead|048v|Lead, tin|p048v_2
 tin|048v|Lead, tin|p048v_2
 tin|048v|Lead, tin|p048v_2
 lead|048v|Lead, tin|p048v_2
 Common tin|048v|Lead, tin|p048v_2
 lead|048v|Lead, tin|p048v_2
 Casting of lead|049r|Casting of lead|p049r_1
 tin|049r|Casting of lead|p049r_1
 lead|049r|Casting of lead|p049r_1
 stone|049r|Casting of lead|p049r_1
 tin|049r|Casting of lead|p049r_1
 lead|049r|Casting of lead|p049r_1
 smoke|049r|Casting of lead|p049r_1
 resin candle|049r|Casting of lead|p049r_1
 antimony|049r|Casting of lead|p049r_1
 looking-glass tin|049r|Casting of lead|p049r_1
 tin|049r|Casting of lead|p049r_1
 pure lead|049r|Casting of lead|p049r_1
 lead|049r|Casting of lead|p049r_1
 copper|049r|Casting of lead|p049r_1
 lead|049r|Casting of lead|p049r_1
 glass|049r|Casting of lead|p049r_1
 resin|049r|Casting of lead|p049r_1
 lead|049r|Casting of lead|p049r_1
 tin|049r|Casting of lead|p049r_1
 Looking glass tin|049r|Casting of lead|p049r_1
 solder|049r|Casting of lead|p049r_1
 iron|049r|Casting of lead|p049r_1
 Calcined iron oyster shell|049r|Casting of lead|p049r_1
 lead|049r|Sand for lead casting|p049r_2
 Rye straw ashes|049r|Sand for lead casting|p049r_2
 glair of egg|049r|Sand for lead casting|p049r_2
 copper|049r|Sand for lead casting|p049r_2
 latten|049r|Sand for lead casting|p049r_2
 Burnt & calcined pumice stone|049r|Another|p049r_3
 Burnt & calcined cuttlefish bones|049r|Another|p049r_3
 ashes of walnut tree or vine|049r|Another|p049r_3
 glair of egg|049r|Another|p049r_3
 fine tin|049r|Pewterers|p049r_4
 looking glass tin|049r|Pewterers|p049r_4
 tin|049r|Pewterers|p049r_4
 tin|049r|Pewterers|p049r_4
 lead|049r|Pewterers|p049r_4
 tin|049r|Pewterers|p049r_4
 copper|049r|Pewterers|p049r_4
 stone|049r|Pewterers|p049r_4
 earth|049r|Pewterers|p049r_4
 latten|049r|Pewterers|p049r_4
 tin|049r|Pewterers|p049r_4
 tin|049r|Pewterers|p049r_4
 tin|049r|Pewterers|p049r_4
 resin candles|049r|Pewterers|p049r_4
 Brittle dou tin|049r|Pewterers|p049r_4
 river sand|049v|Birds|p049v_1
 lead|049v|Grain of lead|p049v_2
 water|049v|Grain of lead|p049v_2
 lead|049v|Grain of lead|p049v_2
 lead|049v|Grain of lead|p049v_2
 glass|050r|Keeping fruit for the entire year|p050r_1
 hot water|050r|Keeping fruit for the entire year|p050r_1
 water|050r|Keeping fruit for the entire year|p050r_1
 new wax|050r|Keeping fruit for the entire year|p050r_1
 waxed canvas|050r|Keeping fruit for the entire year|p050r_1
 fruit|050r|Keeping fruit for the entire year|p050r_1
 lute|050r|Keeping fruit for the entire year|p050r_1
 lute|050r|Keeping fruit for the entire year|p050r_1
 quicklime|050r|Keeping fruit for the entire year|p050r_1
 oil|050r|Keeping fruit for the entire year|p050r_1
 water|050r|Keeping fruit for the entire year|p050r_1
 water|050r|Keeping fruit for the entire year|p050r_1
 water of the vat|050r|Keeping fruit for the entire year|p050r_1
 water|050r|Keeping fruit for the entire year|p050r_1
 river water|050r|Keeping fruit for the entire year|p050r_1
 paper|050r|Molding|p050r_2
 paper|050r|Molding|p050r_2
 paper|050r|Molding|p050r_2
 oil|050r|Molding|p050r_2
 paper|050r|Molding|p050r_2
 tallow|050r|Molding|p050r_2
 wax|050r|Molding|p050r_2
 sulfur|050r|Molding|p050r_2
 paper|050r|Molding|p050r_2
 plaster|050r|Molding|p050r_2
 tripoli|050r|Molding|p050r_2
 lead|050r|Molding|p050r_2
 metal|050r|Molding|p050r_2
 carton|050r|Molding|p050r_2
 papier collé|050r|Molding|p050r_2
 spider|050v|Small birds|p050v_1
 dry mortar|050v|Small birds|p050v_1
 lime|050v|Small birds|p050v_1
 sand|050v|Small birds|p050v_1
 dry mortar|050v|Small birds|p050v_1
 almonds|050v|Small birds|p050v_1
 pith|050v|Small birds|p050v_1
 bread pith|050v|Small birds|p050v_1
 lettuce seed|050v|Small birds|p050v_1
 hemp seed|050v|Small birds|p050v_1
 rapeseed|050v|Small birds|p050v_1
 steel|050v|Curried steel and files|p050v_2
 steel|050v|Curried steel and files|p050v_2
 iron|050v|Curried steel and files|p050v_2
 molten iron|050v|Curried steel and files|p050v_2
 iron bars|050v|Curried steel and files|p050v_2
 steel|050v|Curried steel and files|p050v_2
 common iron|050v|Curried steel and files|p050v_2
 strong iron|050v|Curried steel and files|p050v_2
 purified steel|050v|Curried steel and files|p050v_2
 steel|050v|Curried steel and files|p050v_2
 water|050v|Curried steel and files|p050v_2
 water|050v|Curried steel and files|p050v_2
 fine steel|050v|Curried steel and files|p050v_2
 iron|050v|Curried steel and files|p050v_2
 the finest steel|050v|Curried steel and files|p050v_2
 strong iron|050v|Curried steel and files|p050v_2
 steel|050v|Curried steel and files|p050v_2
 very doulx iron|050v|Curried steel and files|p050v_2
 steel|050v|Curried steel and files|p050v_2
 bitumen|050v|Curried steel and files|p050v_2
 soap water|051r|Counterproofing|p051r_1
 white paper|051r|Counterproofing|p051r_1
 glass|051r|Counterproofing|p051r_1
 oil|051r|Counterproofing|p051r_1
 paper|051r|Counterproofing|p051r_1
 spike lavender &or turpentine oil|051r|Counterproofing|p051r_1
 paper|051r|Counterproofing|p051r_1
 oil|051r|Counterproofing|p051r_1
 paper|051r|Counterproofing|p051r_1
 paper|051r|Counterproofing|p051r_1
 soap water|051r|Counterproofing|p051r_1
 well-gummed water|051r|Counterproofing|p051r_1
 gummed water|051r|Counterproofing|p051r_1
 soap|051r|Counterproofing|p051r_1
 copper|051r|Cutters of printing plates|p051r_2
 good lye|051r|Cutters of printing plates|p051r_2
 lye|051r|Cutters of printing plates|p051r_2
 ink|051r|Cutters of printing plates|p051r_2
 linseed oil|051r|Cutters of printing plates|p051r_2
 walnut oil|051r|Cutters of printing plates|p051r_2
 copper|051r|Cutters of printing plates|p051r_2
 wood|051r|Cutters of printing plates|p051r_2
 wood|051r|Cutters of printing plates|p051r_2
 wood|051r|Cutters of printing plates|p051r_2
 wood|051r|Cutters of printing plates|p051r_2
 wood|051r|Cutters of printing plates|p051r_2
 moist handkerchief|051r|Cutters of printing plates|p051r_2
 paper|051r|Cutters of printing plates|p051r_2
 glass|051r|Cutters of printing plates|p051r_2
 ink|051r|Cutters of printing plates|p051r_2
 copper|051r|Cutters of printing plates|p051r_2
 cartons|051r|Cutters of printing plates|p051r_2
 pastes|051r|Cutters of printing plates|p051r_2
 lye|051r|Cutters of printing plates|p051r_2
 walnut oil|051v||p051r_2
 linseed oil|051v||p051r_2
 garlic|051v||p051r_2
 bread crusts|051v||p051r_2
 lampblack|051v||p051r_2
 marble|051v||p051r_2
 oil|051v||p051r_2
 ink|051v||p051r_2
 white paper|051v||p051r_2
 paper|051v||p051r_2
 linen|051v||p051r_2
 ink|051v||p051r_2
 Linseed oil|051v||p051r_2
 varnish|051v||p051r_2
 tartar|051v||p051r_2
 non-boiled linseed oil|051v||p051r_2
 walnut oil|051v||p051r_2
 black|051v||p051r_2
 lamp smoke|051v||p051r_2
 black moderately thick|051v||p051r_2
 lye|051v||p051r_2
 white paper|051v||p051r_2
 paper|051v||p051r_2
 paper|051v||p051r_2
 paper|051v||p051r_2
 felt|051v||p051r_2
 paper|051v||p051r_2
 sheet|051v||p051r_2
 paper|051v||p051r_2
 felt|051v||p051r_2
 ink|051v||p051r_2
 ink|051v||p051r_2
 lye|051v||p051r_2
 urine|051v||p051r_2
 rye|052r|The work done in Algiers|p052r_1
 barley|052r|The work done in Algiers|p052r_1
 straw|052r|The work done in Algiers|p052r_1
 good fountain or river water|052r|The work done in Algiers|p052r_1
 water of sulfurous baths|052r|The work done in Algiers|p052r_1
 fenugreek|052r|The work done in Algiers|p052r_1
 dung|052r|The work done in Algiers|p052r_1
 dung|052r|The work done in Algiers|p052r_1
 urine|052r|The work done in Algiers|p052r_1
 glass|052r|The work done in Algiers|p052r_1
 earthen|052r|The work done in Algiers|p052r_1
 chicken eggs|052r|The work done in Algiers|p052r_1
 yolk|052r|The work done in Algiers|p052r_1
 glair|052r|The work done in Algiers|p052r_1
 germ|052r|The work done in Algiers|p052r_1
 yolks|052r|The work done in Algiers|p052r_1
 egg yolks|052r|The work done in Algiers|p052r_1
 eggs|052r|The work done in Algiers|p052r_1
 female silkworm seeds|052r|The work done in Algiers|p052r_1
 luted|052r|The work done in Algiers|p052r_1
 dung|052r|The work done in Algiers|p052r_1
 dung|052r|The work done in Algiers|p052r_1
 dung|052r|The work done in Algiers|p052r_1
 egg yolk|052r|The work done in Algiers|p052r_1
 gold leaf|052r|The work done in Algiers|p052r_1
 egg yolk|052r|The work done in Algiers|p052r_1
 gold leaf|052r|The work done in Algiers|p052r_1
 egg yolk|052r|The work done in Algiers|p052r_1
 charcoal|052r|The work done in Algiers|p052r_1
 lute|052r|The work done in Algiers|p052r_1
 good vinegar|052v||p052r_1
 linen|052v||p052r_1
 silk|052v||p052r_1
 molten ♁|052v||p052r_1
 finer ☉ than the other one|052v||p052r_1
 oldest ♁|052v||p052r_1
 honey|052v||p052r_1
 vinegar|052v||p052r_1
 gum|052v|Colors|p052v_2
 white wine|052v|Colors|p052v_2
 tragacanth gum|052v|Colors|p052v_2
 tragacanth|052v|Colors|p052v_2
 sel blanc|052v|Colors|p052v_2
 clear water|052v|Colors|p052v_2
 white wine|052v|Colors|p052v_2
 Soldering|053r|Soldering a vise|p053r_1
 solder|053r|Soldering a vise|p053r_1
 iron strip|053r|Soldering a vise|p053r_1
 Copper|053r|Copper|p053r_2
 iron|053r|Copper|p053r_2
 iron|053r|Copper|p053r_2
 lead|053r|Casting of lead|p053r_3
 tin|053r|Casting of lead|p053r_3
 lead|053r|Casting of lead|p053r_3
 sublimate|053r|Casting of lead|p053r_3
 cuttlefish bone|053r|Casting of lead|p053r_3
 Paper|053r|Molding of Paper|p053r_4
 ashes|053r|Molding of Paper|p053r_4
 cotton|053r|Molding of Paper|p053r_4
 aquafortis|053r|Molding of Paper|p053r_4
 sal ammoniac|053r|Molding of Paper|p053r_4
 aqua regia|053r|Molding of Paper|p053r_4
 cotton|053r|Molding of Paper|p053r_4
 gummed water|053r|Molding of Paper|p053r_4
 Lasting of lead|053r|Lasting of lead and copper|p053r_6
 copper|053r|Lasting of lead and copper|p053r_6
 Lead|053r|Lasting of lead and copper|p053r_6
 tin|053r|Lasting of lead and copper|p053r_6
 white chalk|053r|Lasting of lead and copper|p053r_6
 Burnt & calcined horse bones|053r|Lasting of lead and copper|p053r_6
 marrow from the horns of oxen|053r|Lasting of lead and copper|p053r_6
 sheep|053r|Lasting of lead and copper|p053r_6
 spongy bone|053r|Lasting of lead and copper|p053r_6
 bone|053r|Lasting of lead and copper|p053r_6
 brittle metal comes out better than fat|053r|Lasting of lead and copper|p053r_6
 lean sand|053r|Lasting of lead and copper|p053r_6
 dense one|053r|Lasting of lead and copper|p053r_6
 silk|053v|Silkworms|p053v_1
 silk|053v|Silkworms|p053v_1
 silk|053v|Silkworms|p053v_1
 white mulberry leaves|053v|Silkworms|p053v_1
 fresh leaves|053v|Silkworms|p053v_1
 incense|053v|Silkworms|p053v_1
 smoke|053v|Silkworms|p053v_1
 silk|053v|Silkworms|p053v_1
 hot water|053v|Silkworms|p053v_1
 ferret-silk|054r||p053v_1
 floret|054r||p053v_1
 silk|054r||p053v_1
 silk|054r||p053v_1
 sweet bread|054v|For making a horse to follow|p054v_2
 resin balls|054v|Dogs|p054v_3
 balls|054v|Dogs|p054v_3
 lit hay|054v|For disguising a horse|p054v_4
 hay|054v|Boots of hay|p054v_5
 hay|054v|Boots of hay|p054v_5
 porkfat|055r|For firing a gun without noise|p055r_1
 fat|055r|For tempering a ball that will pierce and will make healing difficult|p055r_2
 strong vinegar|055r|For tempering a ball that will pierce and will make healing difficult|p055r_2
 sap|055r|Against wounds|p055r_3
 pestled herb which is called semperviva|055r|Against wounds|p055r_3
 vermicularis|055r|Against wounds|p055r_3
 glass|055r|Onenev elbirro hcihwc_055r_03 sllik fi eno spets no a draob ro a purrits|p055r_4
 egg yolks|055r|Onenev elbirro hcihwc_055r_03 sllik fi eno spets no a draob ro a purrits|p055r_4
 good vinegar|055r|Onenev elbirro hcihwc_055r_03 sllik fi eno spets no a draob ro a purrits|p055r_4
 horsedung|055r|Onenev elbirro hcihwc_055r_03 sllik fi eno spets no a draob ro a purrits|p055r_4
 egg yolks|055r|Onenev elbirro hcihwc_055r_03 sllik fi eno spets no a draob ro a purrits|p055r_4
 waters|055v|Another for waters|p055v_1
 quicklime|055v|Another for waters|p055v_1
 Damascus steel|055v|Damascus steel|p055v_2
 earthworms|055v|Damascus steel|p055v_2
 horseradish leaf|055v|Damascus steel|p055v_2
 waters|055v|Damascus steel|p055v_2
 ferlin|055v|For knowing the course one takes on the open sea|p055v_3
 oil|055v|For knowing the course one takes on the open sea|p055v_3
 water|055v|For knowing the course one takes on the open sea|p055v_3
 water|055v|For knowing the course one takes on the open sea|p055v_3
 oil|055v|For knowing the course one takes on the open sea|p055v_3
 Chalk|055v|For casting|p055v_4
 lead|055v|For casting|p055v_4
 pumice|055v|For casting|p055v_4
 water|055v|For casting|p055v_4
 Lead|055v|For casting|p055v_4
 tin|055v|For casting|p055v_4
 tin|055v|For casting|p055v_4
 lead|055v|For casting|p055v_4
 tin|055v|For casting|p055v_4
 river water|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 weld|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 water|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 salt|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 river water|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 fatty red earth|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 water|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 pigeon dung|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 earth|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 horse dung|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 iron filings|056r|Excellent tempering bath for the body of cuirasses|p056r_1
 Varnish|056r|Varnish for distemper|p056r_2
 distemper|056r|Varnish for distemper|p056r_2
 marble|056r|Varnish for distemper|p056r_2
 distemper|056r|Varnish for distemper|p056r_2
 lake|056r|Varnish for distemper|p056r_2
 rose of Ghent|056r|Varnish for distemper|p056r_2
 chalk|056r|Varnish for distemper|p056r_2
 lake|056r|Varnish for distemper|p056r_2
 wine|056r|Varnish for distemper|p056r_2
 glue|056r|Varnish for distemper|p056r_2
 varnish|056r|Varnish for distemper|p056r_2
 varnish|056r|Varnish for distemper|p056r_2
 clear Venice turpentine|056r|Varnish for distemper|p056r_2
 spike lavender oil|056r|Varnish for distemper|p056r_2
 distemper|056r|Varnish for distemper|p056r_2
 turpentine varnish|056r|Varnish for distemper|p056r_2
 Pure spike lavender oil varnish|056r|Varnish for distemper|p056r_2
 spike lavender oil|056r|Varnish for distemper|p056r_2
 lake|056v|Painter|p056v_1
 floree|056v|Painter|p056v_1
 rosette of Ghent|056v|Painter|p056v_1
 marble|056v|Painter|p056v_1
 Chalk|056v|Painter|p056v_1
 oil|056v|Painter|p056v_1
 Ceruse|056v|Painter|p056v_1
 lead white|056v|Painter|p056v_1
 Ceruse|056v|Painter|p056v_1
 water|056v|Painter|p056v_1
 lead white|056v|Painter|p056v_1
 oil|056v|Painter|p056v_1
 Florey|056v|Painter|p056v_1
 azur d'esmail|056v|Painter|p056v_1
 ivory|056v|Painter|p056v_1
 knots of the fir tree|056v|Painter|p056v_1
 pear tree|056v|Painter|p056v_1
 walnut tree|056v|Painter|p056v_1
 wood|056v|Painter|p056v_1
 wood|056v|Painter|p056v_1
 oil|056v|Painter|p056v_1
 stil de grain yellow|056v|Painter|p056v_1
 ceruse|056v|Painter|p056v_1
 oil|056v|Painter|p056v_1
 azur d’esmail|056v|Painter|p056v_1
 oil|056v|Painter|p056v_1
 water|056v|Painter|p056v_1
