folio,folio_display,div_id,categories,heading_tl,al_tl,bp_tl,cn_tl,def_tl,env_tl,m_tl,md_tl,ms_tl,mu_tl,pa_tl,pl_tl,pn_tl,pro_tl,sn_tl,tl_tl,tmp_tl,wp_tl,de_tl,ge_tl,it_tl,la_tl,oc_tl,po_tl
060v,60v,p060v_2,painting,Cleaning panels,,urine,,,,soapy water;urine;white wine,,,,,,,,,,,,,,,,,
060v,60v,p060v_3,painting,Spike lavender oil,,,,,,Spike lavender oil;oil;spike lavender <-on the-> oil;wood,,,,Spike lavender;spike lavender,,,painters;painters,,oil paintbrush,in the evening,,,,,,,
060v,60v,p060v_4,painting;varnish,Wood color,,,,,,Wood;bistre;varnish,,,,,,,,,,,,,,,,,
060v,60v,p060v_5,painting,Work of the Flemish,,,,,,oil;hair,,,,,Flemish,,illuminators,,tip of the paintbrushes;paintbrush,,,,,,,,
061r,61r,p061r_1,painting,Flesh colors,,,,,,lead white;Florence lake;rose alexandrine;incarnadine;minium;massicot;ashes,,,,,Florence,,,,,,,,,,,,
061r,61r,p061r_2,painting,Rounding,,,,,,,,,,,,,,,point of the paintbrush & the rest with the flat part;point of the dry & flattened paintbrush,,,,,,,,
061r,61r,p061r_3,painting,Lead white,,,,,,Lead white;ceruse,,,,,,,,,,,,,,,,,
061r,61r,p061r_4,painting,Lights,,back of your hand,,,light,,,,,,,,,,paintbrush,,,,,,,,
061v,61v,p061v_1,painting;practical optics,Water to give light for the painter,,,,,,Water;vine water,,,,,,,painter,,big bottle;candle,,,,,,,,
061v,61v,p061v_2,painting;varnish;practical optics,Frames of the Germans ,rat,,,,,glass;canvas;clear turpentine varnish;turpentine oil;turpentine;glass;rat whiskers,,half;almost half,,,Germans;Germans,,,,Frames;frames;paintbrushes composed of two or three rat whiskers,,,,,,,,
061v,61v,p061v_3,painting,Azur d’esmail in oil,,,,,,Azur d’esmail;oil;oil;water;oil;turpentine;butter;mortar;ceruse;Azure;azure;azure;azure;oil;azure,,,,,,,,,palette;fairly large paintbrush;paintbrush;tip of the paintbrush;paintbrush,,,,,,,,
061v,61v,p061v_4,painting,Grinding colors,,thumb,,,,marble;glass;glass;lake,,a <-glass-> thumb thick,,,,,,,,,,,,,,,
062r,62r,p062r_1,painting,Perspectives,,,,,,oil;distemper,,,,,,,,,ruler,take a long time,,,,,,,
062r,62r,p062r_2,painting,Ocher,,,,,,Ocher,,,,,,,,,,,,,,,,,
062r,62r,p062r_3,painting,Distant people and animals,,,,,,azure ash;lake,,,,,,,,,,,,,,,,,
062r,62r,p062r_4,painting,Drawing,,,,,,charcoal;charcoal;charcoal;charcoal;charcoal;charcoal;gum;distemper,,,,,,,masters;apprentices;artist,,knife;charcoal;charcoal;charcoal;charcoal;charcoal;paintbrush,,,,,,,,
062v,62v,p062v_1,painting,Drawing,,eye,,,,ash;water,,,,,,,artist;Masters;apprentices,,eye;compass;ruler,long,,,,,,,
062v,62v,p062v_2,painting,Perspective,,eye,,,,oil;plumb;thread;lead;thread,,,,,,,,,ruler;rulers;ruler;ruler;ruler;tip of another ruler;screw;ruler;compass;judgment of the eye;ruler;plumb lines;thread;hook;thread,,,,,,,,
062v,62v,p062v_3,painting,Panel,,,,,,oil;dirt,,,,,,,,,easel,,,,,,,,
063r,63r,p063r_1,painting,Amaranth color,,,,,,white wine;flower;wine;Eau-de-vie,,,,Amaranth,,,,,,,,,,,,,
063r,63r,p063r_2,painting,Drying of oil,,,,,,oil;oil;massicot;minium;oil than that of walnut,,,,walnut,,,,,,,,,,,,,
063r,63r,p063r_3,casting,Casting,,,,,mine,lead from Flanders;lead ore;filth;ore;lead;iron;copper;lead;filth,,,,,Germans;Flanders,,,,vessel;molds of iron & copper;crucible,,,,,,,,
063r,63r,p063r_4,painting,Shadows,,,,,,jet;stil de grain yellow;ocher,,,,,German,,painters,,,,,,,,,,
063r,63r,p063r_5,painting,Bistre,,,,,,Bistre;distemper;wood,,,,,,,,,,,,,,,,,
063r,63r,p063r_6,painting,Verdigris and another very beautiful bright green,,urine,,,,Verdigris;water;distemper;vinegar;urine;oil;marble;stil de grain yellow,,,,,,,,,spatula;marble,,,,,,,,
063v,63v,p063v_1,painting,Velvets and blacks,,,,,,peach pit;lake;pit coal;lake;common charcoal,,,,peach,,,,,,,,,,,,,
063v,63v,p063v_2,painting,Armor,,,,,,Soft wood charcoal,,,,,,,,,,,,,,,,,
063v,63v,p063v_3,painting,Stil de grain yellow,,,,,,Stil de grain yellow;broom flower;water;alum;ceruse,,,,broom flower,,,,,,,,,,,,,
063v,63v,p063v_4,painting,Rosette,,,,,,Rosette;chalk;ceruse;brazilwood dye,,,,brazilwood,,,,,,,,,,,,,
063v,63v,p063v_5,painting,Flanders blue,cow;horse,,,,,cow dung;horse dung;florey,,,,,Flanders,,,,,month of May,,,,,,,
063v,63v,p063v_6,painting,Snow-covered landscapes,,,,,,bistre,,,,,,,,,,,,,,,,,
063v,63v,p063v_7,painting,Softening,,,,,,minium,,,,,,,,,,the next day,,,,,,,
064r,64r,p064r_1,painting,Working neatly,,,,,,,,,,,,,,,,,,,,,,,
064r,64r,p064r_2,painting,Fatty oil,,,,,,Fatty oil;azur d’esmail;clearest walnut oil,,,,walnut,,,,,,,,,,,,,
064r,64r,p064r_3,painting,Vermilion,,,,,,Vermilion;water;oil;vermilion;vermilion;lake;minium;calcined cristallin,,,,,,,,,,,,,,,,,
064r,64r,p064r_4,painting,Oil colors in water,,,,,,Oil;water;tin leaf;water;ceruse;lead white;minium;massicot;lake;azure;vermilion,,,,,,,,,,,,,,,,,
064r,64r,p064r_5,painting,Double layer,,,,,,Verdigris;lake,,,,,,,,,,,,,,,,,
064r,64r,p064r_6,painting,Yellow ocher,,,,,,Yellow ocher,,,,,,,,,,,,,,,,,
064r,64r,p064r_7,painting,Softening,,,,,,oiled paper;wood;canvas,,,,,,,,,,,,,,,,,
064r,64r,p064r_8,painting,Eye,,,,,,,,,,,,,,,compass,,,,,,,,
064v,64v,p064v_1,painting,Apprenticeship of the painter,,,,,,egg;charcoal;egg,,,,,,,painter,,charcoal;paintbrush,,,,,,,,
064v,64v,p064v_3,painting,Softening,,,,,,azur d’esmail;oil;distemper;distemper;Distemper;oil,,,,,,,,,palette,,,,,,,,
064v,64v,p064v_4,painting,Straight lines,,,,,,,,,,,,,,,ruler,,,,,,,,
064v,64v,p064v_5,painting,Distemper,,,,,,Distemper;Distemper;oil,,,,,,,,,,,,,,,,,
065r,65r,p065r_1,painting,Shadows,,,,,,oil;jet;yellow ocher;lead white;lead white;jet;sap green;bistre;distemper;orberé grain;umber;umber,,,,orberé grain,,,,,,,,,,,,,
065r,65r,p065r_2,painting,Flesh color,,,,,,,,,,,,,,,,,,,,,,,
065r,65r,p065r_3,painting;practical optics,Mirror,,,,,firelight,cristallin,,,,,,,painter,,Mirror;cristallin mirror;candle;mirror,,,,,,,,
065r,65r,p065r_4,painting,Fatty colors,,breathe,,,,oil;paper;distemper;gild;or mat;gold color;ceruse;minium;massicot;ocher;lead white;soap;water;pestled glass;lake,,,,,,,,,paintbrush;pestled,,,,,,,,
065v,65v,p065v_1,painting,Semi-lively colors,,,,,,canvas;azure;lake,,,,,,,,,,,,,,,,,
065v,65v,p065v_2,painting,Painting large figures,,fingertips;hand,,,,charcoal;charcoal,,,,,,, artist,,stick,,,,,,,,
065v,65v,p065v_3,painting,Glazing,,,,,,lake;verdigris;calcined & ground cristallin,,,,,,,,,,,,,,,,,
065v,65v,p065v_4,painting,White and black,,,,,,,,,,,,,apprentice;artist,,,years,,,,,,,
065v,65v,p065v_5,painting,Lead white,,,,,,Lead white,,,,,,,,,,,,,,,,,
065v,65v,p065v_6,painting,From nature,,,,,,oiled paper;paper;water;paper;gum;soap;cocon.,,,,,,,Illuminators;Painters,,,,,,,,,,
065v,65v,p065v_7,painting,Imprimatura,,,,,,washings of oil paintbrushes;oil;verdigris;ceruse;yellow ocher;massicot,,,,,,,,,oil paintbrushes,,,,,,,,
066r,66r,p066r_1,painting,Double layers,,,,,,,,,,,Flemish,,,,,,,,,,,,
066r,66r,p066r_2,painting,Shadows,,,,,,asphaltum;umber;lake,,,,,,,,,,,,,,,,,
066r,66r,p066r_3,painting,Painting in distemper on wood,,,,,,distemper;wood;distemper;wood;glair of egg;yolk;water;peelings of the fig tree;wood;oil;varnish,,,,fig tree,,,,,sponge,,,,,,,,
066r,66r,p066r_4,painting;varnish,Colors in oil that are imbibed,,,,,,oil;oil;oil;varnish;canvas;distemper;bole;honey;garlic juice,,,,,,,,,,,,,,,,,
066r,66r,p066r_5,varnish,Gilding molding for panels with or mat,,,,,in the sun;in the rain;in the rain,or mat;distemper glue;lamp black;soot black;glue;minium;massicot;ocre de ru;yellow ocher;fatty oil;oil;gold;oil;gold;or mat;varnish;fatty oil;ceruse;Or mat;burnished gold;Burnished gold,,,,,Flemish,,,,paintbrushes for oil;paintbrushes,over time,,,,,,,
066r,66r,p066r_6,painting,* Or mat,,finger,,,in the rain;in the rain,Or mat;massicot;minium;ocre de ru;yellow ocher;gold;cotton;Flanders varnish;eau-de-vie;varnish;or mat;oil;verdigris;or moulu;water;or mat;water;cotton;gold;gold;gild;or mat;gilded;gold;gilding,,day;hour;days;ounce;hours,,,Flanders;Flanders;France,,,,feather;cotton;paintbrushes for oil;tooth;cotton,the day after;evening;day;hour;days;time;one day or one night;hours,,,,,,,
066v,66v,p066v_1,medicine,For preventing teats from swelling  d or to diminish overly large ones,,teats,,,,loaves of bread freshly drawn from the oven;Venice turpentine;common turpentine;sumac;blackthorn sloes;quince seeds;pomegranate flowers;olive tree leaves;turpentine;hot bread;water from a honey bee hive;honey;wax,For preventing teats from swelling  <-d-> or to diminish overly large ones;softens;makes one sweat,in half;times a day;days,,sumac;blackthorn sloes;quince;pomegranate;olive tree,Venice,,,,oven;linen cloths soaked with water from a honey bee hive,day;days,,,,,,honeycomb,
066v,66v,p066v_2,animal husbandry,For attracting pigeons,pigeons;pigeons,,,,,hemp seed;oil,,,,hemp,,,,,pan,,,,,,,,
066v,66v,p066v_3,medicine,Against bruising of the eyes,,eyes,,,,very thin sheets of lead,Against bruising of the eyes,,,,,,,,,At night,,,,,,,
066v,66v,p066v_4,painting,Paintbrushes,squirrel;rat;rat;petit-gris;duck;crow,thumb;index finger;ends of your fingernails;hand,,,,hair from the tail of a squirrel’s fur;card;card;hair;bristles of a rat’s whiskers;hair;water;hairs;rat hairs;hair of the petit-gris;quill;water,,as much in one go as one can hold in a card folded up like a cannule,,,,,,,Paintbrushes;thread;paintbrushes,,,,,,,,
067r,67r,p067r_1,varnish,Oil,,,,,,Oil;oil;paper;paper;turpentine;spike lavender oil;varnish,,,,spike lavender,,,,,,,,,,,,,
067r,67r,p067r_2,casting,Sand,,,,,,Sand,,,,,,,,,,,,,,,,,
067r,67r,p067r_3,tool;metal process,Bellows furnace,,,,,,metal;charcoal;charcoal;metal,,,,,,,,,Bellows furnace;bellows;bellows,,,,,,,,
067r,67r,p067r_4,varnish,Varnish on paper,,,,,the first rain,"Varnish;paper;paper;glair of egg;gum;oil, not of spike lavender, but another fragrant one that resembles olive oil;oil;spike lavender;another fragrant one that resembles olive oil;glair;oil;taffeta;glair",,,,spike lavender;olive,Germans,,painters;poor peasants,fragrant,,,,,,,,,
067v,67v,p067v_1,tool,Files,,,,,,soot;salt;vinegar;soft iron;steel;latten;copper;copper;Latten;copper,,,,,,,locksmiths;Founders,,Files;square files;soft files;files;files,,,,,,,,
067v,67v,p067v_2,casting,Bones of the foot of oxen for sand,oxen,,,,,Bones of the foot of oxen for sand;sand;straw;wadding;sand of bone;neatest sand that can be found for copper;copper,,,,,,,,,paintbrush,,,,,,,,
067v,67v,p067v_3,painting;varnish,Essential oils,,,,,,Essential oils;Walnut oil;turpentine;common water;distemper;turpentine;azur d’esmail;lead white;Turpentine varnish;oil,,hour,,Walnut,,,,,alembic,hour,,,,,,,
068r,68r,p068r_1,decorative,Fanciful tables,fishes,,,,,simple carton;silvered & burnished paper;very clear lantern horn,,,,,,,,,burnished,,,,,,,,
068r,68r,p068r_2,cultivation,Planting trees,,,,,dry place;dry weather;rains,earth,,,,,,,,,,,,,,,,,
068r,68r,p068r_3,casting,Casting,,fingers;fingernail;fingers,,,,sand;lead;tin;chalk;pestled glass;tripoli;burnt linen;chalk;the Champagne one that painters use;magistra;powdered chalk;Pestled glass;common glass sand;cristallin;glass;salt of saltwort;cristallin;salt of tartar;saltwort;glass;glass;charcoals;water;Putty;metals;metal;iron;common marble;porphyry;water;oil;sand;sulfur smoke;wax candle;smoke;pure lead;tin;finely pulverized tripoli;Burnt linen;marble;paper;linen;pestled slate;soft tin;silver;paper;straw;Tin;lead;pure tin <-pure-> <-or-> or lead;lead;tin;sands;magistra;glair of egg,,fingers;degree of heat;half,,,Champagne,,painters;painters;pewterers,,"pestled;frame mold;frame;Pestled;fingers;pestle;mortar of metal,  or better yet, of iron;marble;porphyry;fingernail;frame;wax candle;marble;paper;crucible;frame;pestled;paper;straw",,,,,,,crucible,
069r,69r,p069r_1,wood and its coloring;decorative,Joiner,,,,,,,,,,,,,Joiner,,,,,,,,,,
069r,69r,p069r_2,casting,Sand,oxen;Human;Sheep;oxen,hands;feet;fingers;fingers,,,sea;sandy paths;sun;quar<-reries->ries;rock caves;rocks;quarries;after rainy weather;rocks;near my area;in the sun,"Sand;the one from the sea;from sandy paths dried out by the sun;arene;lean soils;stones of tuf;terres bolvenes;fatty & strong earths;common earth;tuf;stone;muddying;clay;linen;wine;magistra;marble;linen;wine;pure latton used for trebuschets;calcined vitriol;sand near my area;copper;lead;Sand from oxen feet, burned twice & finely ground;copper;sand;lean sands;magistra;pure wine;boiled wine with elm tree roots;very fine sands;burned linen;moistened sand;olive oil;beaten egg glair;Sand of calcined glass;Latten;copper;substance of skillets;molded tripoli;burned felt;sal ammoniac;tripoli;metal;Human bones;iron scales;copper;grease;saltpeter;paper;Sheep foot bones;those of oxen foot;Oil;tallow;pestled glass;copper;Cendrée earth;Ash;copper;sands;Latten;copper;Copper;metal;metal;latten;Slightly coarser sand;Sand from <-corp-> rock;tuf;smokes;Copper;latten;wax;latten;sand;pestled glass;earth;lead;filth;Copper;latten;well ground ceruse;flour;oil;lead;old printers' type;composition thereof;tin;lead;fixed quicksilver",,feet;quarter part;lb;quarter,,elm tree;olive,bolvenes;Toulouse,,molder;Founders;printers,,hands;fingers;fingers;pestled;double sieve;linen sleeve;marble;linen;knife;card;frames;paper;pestled;frame;pestles;skillet;double sieve;pestled;crucible,after rainy weather,,,,,Verte,crucible,
071r,71r,p071r_1,stones,Amber,goat kid;goat buck,,,,,Amber;paste;melted wax;fat of a young goat kid,,,,,,,,,,,,,,,,,
071r,71r,p071r_2,wood and its coloring,Wood with streaked grain,,,,,,Wood with streaked grain;elm;root of the maple;wood;maple,,,,elm;maple;maple,,,,,,,,,,,,,
071r,71r,p071r_3,household and daily life,Mulled and sugared wine,,,,,,wine;wine;tin;burning paper;eau panée;burning paper;wine;cloves;sugar;sugar;wine;sweet new wine;wine,,to know if it is hot enough;sufficient quantity,,cloves,English;English,,,,tin pot;burning paper;vessel;burning paper;vessel,long sea crossing,,,,,,,
071r,71r,p071r_4,household and daily life;animal husbandry,Weary horses,horses;horse,,,,,wine,,,,,,,,,horn,,,,,,,,
071r,71r,p071r_5,household and daily life,Eau-de-vie,,,,,,Eau-de-vie;wine;eau-de-vie;wine,,,,,Irish,,,,,,,,,,,,
071v,71v,p071v_1,varnish,Varnish,,,,,,Varnish;spike lavender oil;sandarac;mastic subtly pulverized;oil;gums;gum;varnish;camphor;spike lavender oil;varnish;paper;oil;paper,,half lb;℥,,spike lavender;spike lavender,,,,,pot;chafing dish;small stick split and quartered at the tip,,,,,,,,
071v,71v,p071v_2,household and daily life;animal husbandry,Sheep fat,Sheep;sheep,,,,,,,,,,England,,,,,,,,,,,,
071v,71v,p071v_3,household and daily life,Spider,Spider;spider,,,,,wood;wood,,,,,Ireland;England,,rich,,wood,,,,,,,,
071v,71v,p071v_4,casting,Sand,,,,,,Sand;Grindings;copper;those of cutlers;sludge;Pierres de filieres;lead;slate,,,,,Toulouse;Carcassonne,,cutlers;those who sharpen,,,,,,,,,,
072r,72r,p072r_1,casting;printing,Printer’s letters,horse,,,,,lead;nails;nailheads;old horseshoes;antimony;lead,,,,,,,Printer’s,,,,,,,,,,
072r,72r,p072r_2,casting,Casting in copper ,,,,,,copper;sand;marble;oiling;sand;wine boiled with elm root;latten;substance of the trebuschets;sand;tile;iron;charcoals;latten;grindings from sharpening large scissors & large knives;copper;persicaire;lead;salts,,,,elm;persicaire,,,,,frame;board;marble;mold;frame;furnace;bellows;furnace;tile;pincers;crooked iron;latten wirebrush,,,,,,,,
072v,72v,p072v_1,casting,Casting,cuttlefish;Cuttlefish,fingers;finger,,,,Lead;tin;Straw;solder;tin;looking-glass tin;soft tin;lead;solder;lead;tin;tin;lead;Sand;lead;tin;sand;solder;quicksilver;leads;tin;lead;wax;blackest lead;lead;tin;lead;tin;tin;solder;lead;quicksilver;cuttlefish bone;bones;Cuttlefish bone;lead;bones;marrow;bone marrow;shell;marrow;sand;lead;iron or pin filings;lead,,part;part;lb;lb;part,,,Germans,,printers,"You will know its goodness by rubbing it with your finger, which will render it very black immediately",tin dish;fingers;shirt sleeve;frame;finger;well evened table;pegs;Cuttlefish bone;frame;hammer;wirebrush;molds,,,,,,,,
073r,73r,p073r_1,wood and its coloring,For making blue varnish,,fingers,,,,blue varnish;blue of flowers of florey or of Flanders;quicklime;water;water;lime;blue;wood,,fingers;day,,,Flanders,,,,,day,,,,,,,
073r,73r,p073r_2,wood and its coloring,For orange color,,,,,,water;lime;terroy merita;wood,,,,,,,,,,,,,,,,,
073r,73r,p073r_3,wood and its coloring,For ridding bone or horn of grease,,,,,,bone;horn;quicklime;water;ash of vine shoots;goldsmith’s water;verdigris,,,,vine shoots,,,goldsmith’s,,pan;pot;pot,,,,,,,,
073r,73r,p073r_4,wood and its coloring,For making gray wood,,,,,,wood;alum;river water;river water;bran;bran;iron filings;sulfur;verdigris;grindings;maplewood;alum water;well water;grais,,,,maplewood,,,,,grais,,,,,,,,
073r,73r,p073r_5,metal process,For making bronze in gold color,,,,,,bronze;sal ammoniac;iron;sulfur;sal ammoniac;soft tin;quicksilver;tin;quicksilver;tin,,ounce;ounce;ounce;ounce,,,,,,,iron mortar,,,,,,,,
073v,73v,p073v_1,metal process,For coating it,,,,,,glue of Partenay or parchment;white of one egg;saffron;vinegar;milk of the fig tree;bronze,,,,fig tree,Partenay,,,,,,,,,,,,
073v,73v,p073v_2,varnish,Varnish,,,,,,Varnish;spike lavender oil;sandarac;drugs;wood,,ounces;ounce,,spike lavender,,,,,pot;vial,,,,,,,,
073v,73v,p073v_3,varnish,Another recipe for making varnish,,,,,,varnish;<-verinse-> Venice turpentine;oil of <-perolle-> petrolle;sandarac;spike lavender oil.,,ounce;quarter ounce;ounce,,spike lavender,Venice,,,,,,,,,,,,
073v,73v,p073v_4,metal process,Color of burnished copper,,,,,,sal ammoniac;brouillamini;copper filings;sulfur;vinegar;charcoal,,ounce;ounce;ounce;half-septier;day,,,,,,,small tile oven;pot;oven,day,,,,,,,
074r,74r,p074r_1,metal process;wood and its coloring,For bronzing white,,,,,,bronzing;looking-glass tin;gum water;marble,,,,,,,,,pestle;mortar;marble,,,,,,,,
074r,74r,p074r_2,painting;metal process,For making vermilion,,,,,,vermilion;sulfur;mercury;leaded;good vermilion,,pounds;pounds;for the space of twenty-four hours,,,,,,,pot;leaded pot,for the space of twenty-four hours,,,,,,,
074r,74r,p074r_3,varnish,For making varnish,,,,,,"varnish;linseed oil;earthen;crust of bread;onions;charcoal;flour glue;well-pestled sandarac;mastic & arab<-e->ic, two ounces each, which will both be well ground;mastic;arab<-e->ic;<-d’araucq-> rock alum;arabic;cloth;oil",,pound;hours;half an ounce;ounces;ounces;hours;ounces;ounces,,linseed;onions,,,,,earthen pot;spoon;pestled;cloth that should be rather tight,hours;hours,,,,,,,
074v,74v,p074v_1,varnish,For making red varnish,,,,,,red varnish;vermilion;quite clear gum water,,,,,,,,,,,,,,,,,
074v,74v,p074v_2,varnish,For making yellow varnish,,hands;palm,,,,yellow varnish;gum arabic;water;well beaten saffron;gum;varnish;varnish,,,,,,,apothecary,,palm,,,,,,,,
